step,epoch,train_loss,eval_loss,learning_rate
5,0.18518518518518517,3.181096839904785,,8e-05
10,0.37037037037037035,2.6523153305053713,,9.931806517013612e-05
15,0.5555555555555556,1.9113746643066407,,9.657955440256395e-05
20,0.7407407407407407,1.571232223510742,,9.185832391312644e-05
25,0.9259259259259259,1.4560543060302735,,8.535533905932738e-05
30,1.1111111111111112,1.1950642585754394,,7.734740790612136e-05
35,1.2962962962962963,1.1319429397583007,,6.817539852819149e-05
40,1.4814814814814814,1.074571704864502,,5.8229729514036705e-05
45,1.6666666666666665,0.9330299377441407,,4.7933751287559335e-05
50,1.8518518518518519,0.8913313865661621,,3.772572564296005e-05
50,1.8518518518518519,,0.8064475059509277,
55,2.037037037037037,0.8049752235412597,,2.804017055763149e-05
60,2.2222222222222223,0.7556413173675537,,1.928936436551661e-05
65,2.4074074074074074,0.6650679588317872,,1.1845796590009683e-05
70,2.5925925925925926,0.6865865230560303,,6.026312439675552e-06
75,2.7777777777777777,0.633864164352417,,2.0786258770873647e-06
80,2.962962962962963,0.6838737487792969,,1.7077534966650766e-07
81,3.0,,0.730340301990509,
81,3.0,1.2578617422669023,,
